AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
15.9,18.3,91.0,4.0,True
15.9,18.4,91.0,3.5,True
15.9,18.4,91.0,3.5,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
16.0,18.4,91.0,3.0,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.5,True
15.9,18.3,90.0,2.5,True
15.9,18.3,90.0,2.4,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.1,90.0,1.8,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.7,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,3.7,True
15.9,18.3,91.0,4.0,True
15.9,18.4,91.0,3.5,True
15.9,18.4,91.0,3.5,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.5,True
15.9,18.3,90.0,2.5,True
15.9,18.3,90.0,2.7,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.1,90.0,1.8,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.7,True
17.5,21.1,83.0,1.3,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,3.7,True
15.9,18.3,91.0,4.0,True
15.9,18.3,91.0,3.5,True
15.9,18.4,91.0,3.4,True
15.9,18.2,91.0,2.5,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
16.0,18.4,91.0,3.0,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.5,True
15.9,18.3,90.0,2.5,True
15.9,18.3,90.0,2.7,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.1,90.0,1.8,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.7,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,3.7,True
15.9,18.3,91.0,2.7,True
15.9,18.3,91.0,3.5,True
15.9,18.4,91.0,3.5,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.5,True
15.9,18.2,91.0,1.6,True
15.9,18.3,90.0,2.4,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.1,90.0,1.8,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.0,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,2.7,True
15.9,18.3,91.0,2.7,True
15.9,18.4,91.0,3.5,True
15.9,18.4,91.0,3.4,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.8,18.2,91.0,2.9,False
15.9,18.3,91.0,2.5,False
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,90.0,2.0,True
15.9,18.2,91.0,1.6,True
15.9,18.3,90.0,2.4,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.7,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.0,True
15.9,18.2,90.0,2.0,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,3.7,True
15.9,18.3,91.0,4.0,True
15.9,18.4,91.0,3.5,True
15.9,18.4,91.0,3.4,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.5,True
15.9,18.2,91.0,1.6,True
15.9,18.3,90.0,2.4,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.1,90.0,1.8,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.0,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,2.7,True
15.9,18.3,91.0,2.7,True
15.9,18.4,91.0,3.5,True
15.9,18.4,91.0,3.4,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,90.0,2.0,True
15.9,18.2,91.0,1.6,True
15.9,18.3,90.0,2.4,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.7,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.0,True
15.9,18.2,90.0,2.0,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,3.7,True
15.9,18.3,91.0,2.7,True
15.9,18.3,91.0,3.5,True
15.9,18.4,91.0,3.4,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
16.0,18.4,91.0,3.0,True
15.9,18.3,91.0,2.5,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.5,True
15.9,18.3,90.0,2.5,True
15.9,18.3,90.0,2.7,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.1,90.0,1.8,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.7,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,3.7,True
15.9,18.3,91.0,4.0,True
15.9,18.4,91.0,3.5,True
15.9,18.4,91.0,3.4,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,90.0,2.0,True
15.9,18.2,91.0,1.6,True
15.9,18.3,90.0,2.4,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.0,True
15.9,18.2,90.0,2.0,True
17.5,21.1,83.0,1.3,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,3.7,True
15.9,18.3,91.0,4.0,True
15.9,18.4,91.0,3.5,True
15.9,18.4,91.0,3.4,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,90.0,2.0,True
15.9,18.2,91.0,1.6,True
15.9,18.3,90.0,2.4,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.1,90.0,1.8,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.0,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,2.7,True
15.9,18.3,91.0,2.7,True
15.9,18.4,91.0,3.5,True
15.9,18.4,91.0,3.5,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,90.0,2.0,True
15.9,18.2,91.0,1.6,True
15.9,18.3,90.0,2.4,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.0,True
15.9,18.2,90.0,2.0,True
17.5,21.1,83.0,1.3,True
17.5,21.2,84.0,1.5,True
15.9,18.7,92.0,2.5,True
15.9,18.8,91.0,2.9,True
15.9,18.6,91.0,3.0,True
15.9,18.6,91.0,2.7,True
15.9,18.5,91.0,3.7,True
15.9,18.3,91.0,4.0,True
15.9,18.4,91.0,3.5,True
15.9,18.4,91.0,3.5,True
15.8,18.2,91.0,3.0,True
15.9,18.2,91.0,1.7,True
15.9,18.3,91.0,2.4,False
15.9,18.3,91.0,3.0,False
15.9,18.3,91.0,2.5,False
16.0,18.4,91.0,3.0,True
15.9,18.3,91.0,2.2,True
15.8,18.3,91.0,2.2,True
15.9,18.3,91.0,1.7,True
15.9,18.3,91.0,2.2,True
15.9,18.3,91.0,2.5,True
15.9,18.3,90.0,2.5,True
15.9,18.3,90.0,2.4,True
15.9,18.3,90.0,3.0,True
15.9,18.3,90.0,2.2,True
15.9,18.1,90.0,1.8,True
15.9,18.2,90.0,2.2,True
15.9,18.2,90.0,2.7,True
