AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
26.2,42.9,33.0,3.0,False
26.4,44.4,33.0,2.7,False
26.2,44.4,34.0,3.0,False
26.3,44.8,33.0,2.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,2.0,False
26.4,44.7,33.0,2.2,False
26.5,44.2,35.0,1.0,False
26.4,44.3,36.0,1.3,False
26.5,44.6,35.0,1.7,False
26.4,44.7,35.0,2.5,False
26.3,43.6,35.0,2.5,False
26.3,43.2,35.0,2.5,False
26.3,43.4,35.0,2.0,False
26.2,43.0,35.0,2.5,False
26.3,42.8,35.0,0.8,False
26.3,42.1,35.0,1.6,False
26.1,41.9,36.0,1.1,False
26.2,43.1,36.0,1.3,False
26.2,42.9,33.0,2.7,False
26.2,42.9,33.0,3.0,False
26.4,44.7,35.0,2.0,False
26.3,44.4,33.0,3.0,False
26.2,44.4,34.0,3.0,False
26.4,44.9,32.0,3.5,False
26.4,44.9,33.0,2.0,False
26.4,44.9,33.0,1.7,False
26.5,44.2,35.0,1.0,False
26.4,44.3,35.0,1.5,False
26.5,44.5,37.0,1.2,False
26.5,44.7,35.0,2.0,False
26.4,44.7,35.0,2.5,False
26.3,43.6,35.0,2.5,False
26.3,43.2,35.0,2.5,False
26.3,43.4,35.0,2.0,False
26.3,43.0,35.0,2.4,False
26.3,43.1,35.0,2.0,False
26.3,42.8,35.0,0.8,False
26.2,42.3,35.0,2.0,False
26.1,41.9,36.0,1.1,False
26.1,42.8,35.0,1.2,False
26.2,42.9,33.0,2.7,False
26.2,42.9,33.0,3.0,False
26.4,44.4,33.0,2.7,False
26.3,44.4,33.0,3.0,False
26.3,44.8,33.0,2.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,2.0,False
26.4,44.7,33.0,2.2,False
26.5,44.2,35.0,1.0,False
26.4,44.3,35.0,1.5,False
26.5,44.6,35.0,1.7,False
26.5,44.7,35.0,2.0,False
26.2,43.5,36.0,2.5,False
26.3,43.2,35.0,2.5,False
26.2,43.4,35.0,2.0,False
26.2,43.0,35.0,2.5,False
26.3,43.1,35.0,2.0,False
26.2,43.2,35.0,1.6,False
26.3,42.1,35.0,1.6,False
26.1,41.9,36.0,1.1,False
26.1,42.8,35.0,1.2,False
26.2,42.9,33.0,2.4,False
26.2,42.9,33.0,2.7,False
26.4,44.7,35.0,2.0,False
26.3,44.4,33.0,3.0,False
26.2,44.4,34.0,3.0,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,2.0,False
26.4,44.7,33.0,2.2,False
26.5,44.5,37.0,1.2,False
26.5,44.6,35.0,1.7,False
26.4,44.7,35.0,2.5,False
26.3,43.6,35.0,2.5,False
26.3,43.2,35.0,2.5,False
26.3,43.4,35.0,2.0,False
26.2,43.0,35.0,2.5,False
26.3,43.1,35.0,2.0,False
26.2,43.2,35.0,1.6,False
26.2,42.3,35.0,2.0,False
26.1,41.9,36.0,1.1,False
26.1,42.8,35.0,1.2,False
26.2,42.9,33.0,2.7,False
26.2,42.9,33.0,3.0,False
26.4,44.4,33.0,2.7,False
26.3,44.4,33.0,3.0,False
26.3,44.8,33.0,2.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,2.0,False
26.4,44.7,33.0,2.2,False
26.5,44.2,35.0,1.0,False
26.4,44.3,36.0,1.3,False
26.5,44.6,35.0,1.7,False
26.4,44.7,35.0,2.5,False
26.2,43.5,36.0,2.5,False
26.3,43.2,35.0,2.5,False
26.3,43.4,35.0,2.0,False
26.2,43.0,35.0,2.5,False
26.3,43.1,35.0,2.0,False
26.2,43.2,35.0,1.6,False
26.2,42.3,35.0,2.0,False
26.3,42.1,35.0,1.6,False
26.1,42.8,35.0,1.2,False
26.2,42.9,33.0,2.4,False
26.2,42.9,33.0,3.0,False
26.4,44.7,35.0,2.0,False
26.3,44.4,33.0,3.0,False
26.2,44.4,34.0,3.0,False
26.4,44.9,32.0,3.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,1.7,False
26.5,44.2,35.0,1.0,False
26.4,44.3,35.0,1.5,False
26.5,44.5,37.0,1.2,False
26.0,43.8,35.0,3.0,False
26.1,43.6,36.0,2.4,False
26.3,43.6,35.0,2.5,False
26.2,43.4,35.0,2.0,False
26.3,43.4,35.0,2.0,False
26.5,43.2,35.0,2.5,False
26.2,43.0,35.0,2.5,False
26.3,42.8,35.0,0.8,False
26.2,43.2,35.0,1.6,False
26.2,42.4,35.0,2.4,False
26.3,42.1,35.0,1.6,False
26.1,42.8,35.0,1.2,False
26.2,42.9,33.0,2.4,False
26.2,42.9,33.0,2.7,False
26.4,44.4,33.0,2.7,False
26.2,44.4,34.0,3.0,False
26.3,44.8,33.0,2.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,1.7,False
26.4,44.7,33.0,2.2,False
26.5,44.6,35.0,1.7,False
26.5,44.7,35.0,2.0,False
26.4,44.5,34.0,2.2,False
26.3,43.6,35.0,2.5,False
26.3,43.2,35.0,2.5,False
26.3,43.4,35.0,2.0,False
26.3,43.0,35.0,2.4,False
26.2,43.0,35.0,2.5,False
26.3,42.8,35.0,0.8,False
26.2,42.3,35.0,2.0,False
26.3,42.1,35.0,1.6,False
26.1,42.8,35.0,1.2,False
26.2,42.9,33.0,2.4,False
26.2,42.9,33.0,2.7,False
26.4,44.7,35.0,2.0,False
26.3,44.4,33.0,3.0,False
26.3,44.8,33.0,2.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,1.7,False
26.4,44.7,33.0,2.2,False
26.5,44.5,33.0,1.3,False
26.4,44.3,35.0,1.5,False
26.4,44.3,36.0,1.3,False
26.5,44.6,35.0,1.7,False
26.2,43.5,36.0,2.5,False
26.3,43.6,35.0,2.5,False
26.2,43.4,35.0,2.0,False
26.3,43.0,35.0,2.4,False
26.3,43.1,35.0,2.0,False
26.4,44.7,35.0,2.0,False
26.4,44.4,33.0,2.7,False
26.2,44.4,34.0,3.0,False
26.4,44.9,32.0,3.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,1.7,False
26.5,44.5,33.0,1.3,False
26.4,44.5,34.0,2.0,False
26.4,44.3,35.0,1.5,False
26.5,44.6,35.0,1.7,False
26.4,44.7,35.0,2.5,False
26.1,43.8,35.0,2.9,False
26.1,43.6,36.0,2.4,False
26.3,43.6,35.0,2.5,False
26.2,43.0,35.0,2.5,False
26.3,43.1,35.0,2.0,False
26.4,44.7,35.0,2.0,False
26.3,44.4,33.0,3.0,False
26.2,44.4,34.0,3.0,False
26.4,44.9,32.0,3.5,False
26.4,44.7,33.0,2.2,False
26.4,44.5,33.0,1.5,False
26.4,44.5,34.0,2.0,False
26.5,44.5,37.0,1.2,False
26.5,44.7,35.0,2.0,False
26.4,44.7,35.0,2.5,False
26.2,43.5,36.0,2.5,False
26.3,43.2,35.0,2.5,False
26.2,43.4,35.0,2.0,False
26.3,43.0,35.0,2.4,False
26.2,43.0,35.0,2.5,False
26.4,44.7,35.0,2.0,False
26.3,44.4,33.0,3.0,False
26.2,44.4,34.0,3.0,False
26.4,44.9,32.0,3.5,False
26.4,44.9,33.0,2.0,False
26.4,44.7,33.0,2.2,False
26.5,44.2,35.0,1.0,False
26.4,44.3,36.0,1.3,False
26.5,44.6,35.0,1.7,False
26.5,44.7,35.0,2.0,False
26.4,44.5,34.0,2.2,False
26.1,43.8,35.0,2.9,False
26.2,43.5,36.0,2.5,False
26.3,43.2,35.0,2.5,False
26.2,43.4,35.0,2.0,False
26.4,43.4,35.0,2.2,False
26.3,43.0,35.0,2.4,False
26.2,43.0,35.0,2.5,False
26.4,44.7,35.0,2.0,False
26.4,44.4,33.0,2.7,False
26.2,44.4,34.0,3.0,False
26.3,44.8,33.0,2.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,1.7,False
26.5,44.5,33.0,1.3,False
26.4,44.5,34.0,2.0,False
26.4,44.3,35.0,1.5,False
26.5,44.6,35.0,1.7,False
26.5,44.7,35.0,2.0,False
26.3,43.6,35.0,2.5,False
26.3,43.2,35.0,2.5,False
26.3,43.4,35.0,2.0,False
26.2,43.0,35.0,2.5,False
26.3,43.1,35.0,2.0,False
26.2,44.4,34.0,3.0,False
26.4,44.9,32.0,3.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,1.7,False
26.4,44.7,33.0,2.2,False
26.5,44.5,33.0,1.3,False
26.5,44.5,37.0,1.2,False
26.5,44.6,35.0,1.7,False
26.4,44.7,35.0,2.0,False
26.3,44.4,33.0,3.0,False
26.2,44.4,34.0,3.0,False
26.4,44.9,32.0,3.5,False
26.4,44.7,33.0,2.2,False
26.4,44.5,33.0,1.5,False
26.4,44.5,34.0,2.0,False
26.5,44.6,35.0,1.7,False
26.5,44.7,35.0,2.0,False
26.3,44.4,33.0,3.0,False
26.3,44.8,33.0,2.5,False
26.4,44.9,32.0,3.5,False
26.4,44.9,33.0,2.0,False
26.4,44.7,33.0,2.2,False
26.4,44.5,33.0,1.5,False
26.4,44.5,34.0,2.0,False
26.5,44.6,35.0,1.7,False
26.5,44.7,35.0,2.0,False
26.4,44.4,33.0,2.7,False
26.2,44.4,34.0,3.0,False
26.3,44.8,33.0,2.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,1.7,False
26.4,44.7,33.0,2.2,False
26.5,44.5,37.0,1.2,False
26.5,44.7,35.0,2.0,False
26.2,44.4,34.0,3.0,False
26.4,44.9,32.0,3.5,False
26.4,44.9,33.0,2.5,False
26.4,44.9,33.0,1.7,False
26.4,44.7,33.0,2.2,False
26.5,44.5,33.0,1.3,False
26.5,44.5,37.0,1.2,False
26.5,44.7,35.0,2.0,False
