AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
17.4,31.4,71.0,1.9,False
17.5,31.8,70.0,1.8,False
17.4,31.2,72.0,2.9,False
17.3,31.2,72.0,1.8,False
17.2,31.0,72.0,2.7,False
17.3,31.0,72.0,2.5,False
17.3,30.9,72.0,1.4,False
17.3,31.0,72.0,1.4,False
17.3,31.0,72.0,2.1,False
17.2,31.0,72.0,1.9,False
17.2,31.3,71.0,1.4,False
17.2,31.3,72.0,1.9,False
17.4,31.5,71.0,1.1,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.6,70.0,1.1,False
17.4,30.5,70.0,1.8,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.3,30.4,70.0,2.0,False
17.2,30.5,71.0,1.0,False
17.3,30.2,70.0,1.5,False
17.3,30.1,70.0,0.9,False
17.3,30.1,70.0,0.9,False
17.3,30.2,69.0,1.8,False
17.4,30.3,69.0,1.2,False
17.5,30.4,69.0,1.3,False
17.5,30.4,69.0,0.9,False
17.5,30.7,68.0,1.5,False
17.6,30.8,68.0,0.4,False
17.6,31.0,67.0,2.0,False
17.6,30.9,68.0,1.9,False
17.6,31.3,68.0,2.2,False
17.6,31.4,69.0,1.3,False
17.7,31.4,68.0,1.1,False
17.7,31.7,67.0,1.9,False
17.7,31.5,68.0,1.3,False
17.7,31.1,67.0,1.6,False
17.7,31.1,67.0,1.6,False
17.6,31.0,68.0,1.5,False
17.5,31.1,68.0,1.7,False
17.5,31.2,68.0,1.4,False
17.5,31.1,68.0,0.7,False
17.5,30.8,68.0,1.5,False
17.4,30.9,68.0,1.1,False
17.5,30.9,68.0,1.5,False
17.5,30.8,68.0,0.6,False
17.4,30.3,69.0,2.4,False
17.4,30.3,69.0,1.3,False
17.3,30.3,70.0,1.7,False
17.3,30.3,70.0,2.4,False
17.2,30.2,71.0,1.7,False
17.2,30.1,71.0,1.4,False
17.2,30.3,70.0,1.0,False
17.2,30.3,70.0,1.2,False
17.2,30.2,71.0,1.3,False
17.2,30.2,71.0,1.5,False
17.2,30.2,71.0,1.8,False
17.1,30.0,71.0,2.0,False
17.1,30.3,71.0,1.1,False
17.1,30.6,70.0,0.9,False
17.2,30.6,69.0,1.0,False
17.2,30.4,70.0,1.9,False
17.3,30.6,70.0,1.3,False
17.4,30.8,71.0,2.7,False
17.5,31.2,71.0,1.2,False
17.5,31.4,70.0,1.9,False
17.5,31.4,70.0,0.9,False
17.4,31.5,70.0,1.7,False
17.4,31.4,70.0,2.0,False
17.5,31.1,71.0,1.7,False
17.4,31.4,71.0,1.9,False
17.5,31.8,70.0,1.8,False
17.5,31.8,70.0,2.8,False
17.4,31.2,72.0,2.9,False
17.2,31.0,72.0,2.7,False
17.3,31.0,72.0,2.5,False
17.3,30.9,72.0,1.4,False
17.2,31.0,72.0,1.6,False
17.3,31.0,72.0,1.4,False
17.2,31.0,72.0,1.9,False
17.2,31.2,71.0,1.8,False
17.2,31.3,71.0,1.4,False
17.2,31.3,72.0,1.9,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.5,70.0,1.4,False
17.4,30.5,70.0,1.3,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.3,30.3,71.0,1.7,False
17.2,30.5,71.0,1.0,False
17.3,30.2,70.0,1.5,False
17.3,30.1,70.0,0.9,False
17.3,30.1,70.0,0.9,False
17.3,30.2,69.0,1.8,False
17.4,30.3,69.0,1.2,False
17.5,30.4,69.0,1.3,False
17.5,30.4,69.0,0.9,False
17.5,30.7,68.0,1.5,False
17.6,30.8,68.0,0.4,False
17.6,31.0,67.0,2.0,False
17.6,31.3,68.0,1.5,False
17.6,31.3,68.0,2.2,False
17.6,31.4,69.0,1.3,False
17.7,31.4,68.0,1.1,False
17.7,31.7,67.0,1.9,False
17.7,31.5,68.0,1.3,False
17.7,31.1,67.0,1.6,False
17.7,31.1,67.0,1.6,False
17.6,31.0,68.0,1.5,False
17.5,31.1,68.0,1.7,False
17.5,31.2,68.0,1.4,False
17.5,31.0,67.0,1.1,False
17.5,30.8,68.0,1.5,False
17.4,30.9,68.0,1.1,False
17.5,30.8,68.0,0.6,False
17.4,30.4,68.0,1.7,False
17.4,30.3,69.0,2.4,False
17.4,30.3,69.0,1.3,False
17.3,30.3,70.0,2.4,False
17.3,30.2,71.0,1.0,False
17.2,30.2,71.0,1.7,False
17.2,30.1,71.0,1.4,False
17.2,30.3,70.0,1.2,False
17.2,30.2,71.0,1.7,False
17.2,30.2,71.0,1.3,False
17.2,30.2,71.0,1.5,False
17.1,30.0,71.0,2.0,False
17.1,30.2,71.0,1.6,False
17.1,30.3,71.0,1.1,False
17.2,30.6,69.0,1.0,False
17.2,30.5,69.0,2.2,False
17.2,30.4,70.0,1.9,False
17.3,30.6,70.0,1.3,False
17.5,31.2,71.0,1.2,False
17.5,31.4,70.0,1.9,False
17.5,31.4,70.0,1.7,False
17.5,31.4,70.0,0.9,False
17.4,31.4,70.0,2.0,False
17.5,31.1,71.0,1.7,False
17.5,31.1,71.0,1.7,False
17.4,31.4,71.0,1.9,False
17.5,31.8,70.0,1.8,False
17.4,31.2,72.0,2.9,False
17.3,31.2,72.0,1.8,False
17.2,31.0,72.0,2.7,False
17.3,31.0,72.0,2.5,False
17.2,31.0,72.0,1.6,False
17.3,31.0,72.0,1.4,False
17.3,31.0,72.0,2.1,False
17.2,31.0,72.0,1.9,False
17.2,31.3,71.0,1.4,False
17.2,31.3,72.0,1.9,False
17.4,31.5,71.0,1.1,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.6,70.0,1.1,False
17.4,30.5,70.0,1.8,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.5,70.0,1.4,False
17.4,30.5,70.0,1.3,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.3,30.3,71.0,1.7,False
17.2,30.5,71.0,1.0,False
17.3,30.2,70.0,1.5,False
17.3,30.1,70.0,0.9,False
17.3,30.1,69.0,2.1,False
17.3,30.2,69.0,1.8,False
17.4,30.3,69.0,1.2,False
17.5,30.4,69.0,1.3,False
17.5,30.7,68.0,0.6,False
17.5,30.7,68.0,1.5,False
17.6,30.8,68.0,0.4,False
17.6,31.0,67.0,2.0,False
17.6,31.3,68.0,1.5,False
17.6,31.3,68.0,2.2,False
17.6,31.4,69.0,1.3,False
17.7,31.4,68.0,1.1,False
17.7,31.7,67.0,1.9,False
17.7,31.5,68.0,1.3,False
17.7,31.1,67.0,1.6,False
17.7,31.1,67.0,1.6,False
17.6,31.0,68.0,1.5,False
17.5,31.1,68.0,1.7,False
17.5,31.2,68.0,1.4,False
17.5,31.0,67.0,1.1,False
17.5,30.8,68.0,1.5,False
17.4,30.9,68.0,1.1,False
17.5,30.8,68.0,0.6,False
17.4,30.4,68.0,1.7,False
17.4,30.3,69.0,2.4,False
17.4,30.3,69.0,1.3,False
17.3,30.3,70.0,2.4,False
17.3,30.2,71.0,1.0,False
17.2,30.2,71.0,1.7,False
17.2,30.1,71.0,1.4,False
17.2,30.3,70.0,1.2,False
17.2,30.2,71.0,1.7,False
17.2,30.2,71.0,1.3,False
17.2,30.2,71.0,1.5,False
17.1,30.0,71.0,2.0,False
17.1,30.2,71.0,1.6,False
17.1,30.3,71.0,1.1,False
17.1,30.6,70.0,0.9,False
17.2,30.5,69.0,2.2,False
17.2,30.4,70.0,1.9,False
17.3,30.6,70.0,1.3,False
17.4,30.8,71.0,2.7,False
17.5,31.4,70.0,1.9,False
17.5,31.4,70.0,1.7,False
17.5,31.4,70.0,0.9,False
17.4,31.4,70.0,2.0,False
17.5,31.1,71.0,1.7,False
17.5,31.1,71.0,1.7,False
17.4,31.4,71.0,1.9,False
17.5,31.8,70.0,2.8,False
17.4,31.2,72.0,2.9,False
17.3,31.2,72.0,1.8,False
17.2,31.0,72.0,2.7,False
17.3,31.0,72.0,2.5,False
17.2,31.0,72.0,1.6,False
17.3,31.0,72.0,1.4,False
17.3,31.0,72.0,2.1,False
17.2,31.0,72.0,1.9,False
17.2,31.3,71.0,1.4,False
17.2,31.3,72.0,1.9,False
17.4,31.5,71.0,1.1,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.5,70.0,1.4,False
17.4,30.5,70.0,1.3,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.3,30.3,71.0,1.7,False
17.2,30.5,71.0,1.0,False
17.3,30.2,70.0,1.5,False
17.3,30.1,70.0,0.9,False
17.3,30.1,70.0,0.9,False
17.3,30.2,69.0,1.8,False
17.4,30.3,69.0,1.2,False
17.5,30.4,69.0,1.3,False
17.5,30.4,69.0,0.9,False
17.5,30.7,68.0,1.5,False
17.6,30.8,68.0,0.4,False
17.6,31.0,67.0,2.0,False
17.6,31.3,68.0,1.5,False
17.6,31.3,68.0,2.2,False
17.6,31.4,69.0,1.3,False
17.7,31.4,68.0,1.1,False
17.7,31.7,67.0,1.9,False
17.7,31.5,68.0,1.3,False
17.7,31.1,67.0,1.6,False
17.6,30.8,69.0,1.8,False
17.6,31.0,68.0,1.5,False
17.5,31.1,68.0,1.7,False
17.5,31.1,68.0,0.7,False
17.5,31.0,67.0,1.1,False
17.5,30.8,68.0,1.5,False
17.4,30.9,68.0,1.1,False
17.5,30.8,68.0,0.6,False
17.4,30.4,68.0,1.7,False
17.4,30.3,69.0,2.4,False
17.4,30.3,69.0,1.3,False
17.3,30.3,70.0,2.4,False
17.3,30.2,71.0,1.0,False
17.2,30.2,71.0,1.7,False
17.2,30.1,71.0,1.4,False
17.2,30.3,70.0,1.2,False
17.2,30.2,71.0,1.7,False
17.2,30.2,71.0,1.3,False
17.2,30.2,71.0,1.5,False
17.1,30.0,71.0,2.0,False
17.1,30.2,71.0,1.6,False
17.1,30.3,71.0,1.1,False
17.2,30.6,69.0,1.0,False
17.2,30.5,69.0,2.2,False
17.2,30.4,70.0,1.9,False
17.4,30.8,71.0,2.7,False
17.5,31.2,71.0,1.2,False
17.5,31.4,70.0,1.9,False
17.5,31.4,70.0,1.7,False
17.4,31.5,70.0,1.7,False
17.4,31.4,70.0,2.0,False
17.5,31.1,71.0,1.7,False
17.5,31.1,71.0,1.7,False
17.5,31.8,70.0,1.8,False
17.5,31.8,70.0,2.8,False
17.4,31.2,72.0,2.9,False
17.3,31.2,72.0,1.8,False
17.2,31.0,72.0,2.7,False
17.3,30.9,72.0,1.4,False
17.2,31.0,72.0,1.6,False
17.3,31.0,72.0,1.4,False
17.3,31.0,72.0,2.1,False
17.2,31.2,71.0,1.8,False
17.2,31.3,71.0,1.4,False
17.2,31.3,72.0,1.9,False
17.4,31.5,71.0,1.1,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.5,70.0,1.4,False
17.4,30.5,70.0,1.3,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.3,30.3,71.0,1.7,False
17.2,30.5,71.0,1.0,False
17.3,30.2,70.0,1.5,False
17.3,30.1,70.0,0.9,False
17.3,30.1,70.0,0.9,False
17.3,30.2,69.0,1.8,False
17.4,30.3,69.0,1.2,False
17.5,30.4,69.0,1.3,False
17.5,30.4,69.0,0.9,False
17.5,30.7,68.0,1.5,False
17.6,30.8,68.0,0.4,False
17.6,31.0,67.0,2.0,False
17.6,31.3,68.0,1.5,False
17.6,31.3,68.0,2.2,False
17.6,31.4,69.0,1.3,False
17.7,31.4,68.0,1.1,False
17.7,31.7,67.0,1.9,False
17.7,31.5,68.0,1.3,False
17.7,31.1,67.0,1.6,False
17.7,31.1,67.0,1.6,False
17.6,31.0,68.0,1.5,False
17.5,31.1,68.0,1.7,False
17.5,31.2,68.0,1.4,False
17.5,31.1,68.0,0.7,False
17.5,30.8,68.0,1.5,False
17.4,30.9,68.0,1.1,False
17.5,30.9,68.0,1.5,False
17.5,30.8,68.0,0.6,False
17.4,30.3,69.0,2.4,False
17.4,30.3,69.0,1.3,False
17.3,30.3,70.0,2.4,False
17.3,30.2,71.0,1.0,False
17.2,30.2,71.0,1.7,False
17.2,30.1,71.0,1.4,False
17.2,30.3,70.0,1.2,False
17.2,30.2,71.0,1.7,False
17.2,30.2,71.0,1.3,False
17.2,30.2,71.0,1.5,False
17.1,30.0,71.0,2.0,False
17.1,30.2,71.0,1.6,False
17.1,30.3,71.0,1.1,False
17.1,30.6,70.0,0.9,False
17.2,30.5,69.0,2.2,False
17.2,30.4,70.0,1.9,False
17.3,30.6,70.0,1.3,False
17.4,30.8,71.0,2.7,False
17.5,31.4,70.0,1.9,False
17.5,31.4,70.0,1.7,False
17.5,31.4,70.0,0.9,False
17.4,31.5,70.0,1.7,False
17.5,31.1,71.0,1.7,False
17.5,31.1,71.0,1.7,False
17.4,31.4,71.0,1.9,False
17.5,31.8,70.0,1.8,False
17.4,31.2,72.0,2.9,False
17.3,31.2,72.0,1.8,False
17.2,31.0,72.0,2.7,False
17.3,31.0,72.0,2.5,False
17.2,31.0,72.0,1.6,False
17.3,31.0,72.0,1.4,False
17.3,31.0,72.0,2.1,False
17.2,31.0,72.0,1.9,False
17.2,31.3,71.0,1.4,False
17.2,31.3,72.0,1.9,False
17.4,31.5,71.0,1.1,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.5,70.0,1.4,False
17.4,30.5,70.0,1.3,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.3,30.3,71.0,1.7,False
17.2,30.5,71.0,1.0,False
17.3,30.2,70.0,1.5,False
17.3,30.1,70.0,0.9,False
17.3,30.1,70.0,0.9,False
17.3,30.2,69.0,1.8,False
17.4,30.3,69.0,1.2,False
17.5,30.4,69.0,1.3,False
17.5,30.4,69.0,0.9,False
17.5,30.7,68.0,1.5,False
17.6,30.8,68.0,0.4,False
17.6,31.0,67.0,2.0,False
17.6,31.3,68.0,1.5,False
17.6,31.3,68.0,2.2,False
17.6,31.4,69.0,1.3,False
17.7,31.4,68.0,1.1,False
17.7,31.7,67.0,1.9,False
17.7,31.5,68.0,1.3,False
17.7,31.1,67.0,1.6,False
17.7,31.1,67.0,1.6,False
17.6,31.0,68.0,1.5,False
17.5,31.1,68.0,1.7,False
17.5,31.2,68.0,1.4,False
17.5,31.1,68.0,0.7,False
17.5,30.8,68.0,1.5,False
17.4,30.9,68.0,1.1,False
17.5,30.9,68.0,1.5,False
17.5,30.8,68.0,0.6,False
17.4,30.3,69.0,2.4,False
17.4,30.3,69.0,1.3,False
17.3,30.3,70.0,1.7,False
17.3,30.2,71.0,1.0,False
17.2,30.2,71.0,1.7,False
17.2,30.1,71.0,1.4,False
17.2,30.3,70.0,1.2,False
17.2,30.2,71.0,1.7,False
17.2,30.2,71.0,1.3,False
17.2,30.2,71.0,1.5,False
17.1,30.0,71.0,2.0,False
17.1,30.2,71.0,1.6,False
17.1,30.3,71.0,1.1,False
17.1,30.6,70.0,0.9,False
17.2,30.6,69.0,1.0,False
17.2,30.4,70.0,1.9,False
17.3,30.6,70.0,1.3,False
17.4,30.8,71.0,2.7,False
17.5,31.2,71.0,1.2,False
17.5,31.4,70.0,1.7,False
17.5,31.4,70.0,0.9,False
17.4,31.5,70.0,1.7,False
17.4,31.4,70.0,2.0,False
17.5,31.1,71.0,1.7,False
17.4,31.4,71.0,1.9,False
17.5,31.8,70.0,1.8,False
17.5,31.8,70.0,2.8,False
17.3,31.2,72.0,1.8,False
17.2,31.0,72.0,2.7,False
17.3,31.0,72.0,2.5,False
17.3,30.9,72.0,1.4,False
17.3,31.0,72.0,1.4,False
17.3,31.0,72.0,2.1,False
17.2,31.0,72.0,1.9,False
17.2,31.2,71.0,1.8,False
17.2,31.3,72.0,1.9,False
17.4,31.5,71.0,1.1,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.5,70.0,1.4,False
17.4,30.5,70.0,1.8,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.3,30.4,70.0,2.0,False
17.2,30.5,71.0,1.0,False
17.3,30.2,70.0,1.5,False
17.3,30.1,70.0,0.9,False
17.3,30.1,70.0,0.9,False
17.3,30.2,69.0,1.8,False
17.4,30.3,69.0,1.2,False
17.5,30.4,69.0,1.3,False
17.5,30.4,69.0,0.9,False
17.5,30.7,68.0,1.5,False
17.6,30.8,68.0,0.4,False
17.6,31.0,67.0,2.0,False
17.6,30.9,68.0,1.9,False
17.6,31.3,68.0,2.2,False
17.6,31.4,69.0,1.3,False
17.7,31.7,67.0,1.5,False
17.7,31.7,67.0,1.9,False
17.7,31.5,68.0,1.3,False
17.7,31.1,67.0,1.6,False
17.6,30.8,69.0,1.8,False
17.6,31.0,68.0,1.5,False
17.5,31.1,68.0,1.7,False
17.5,31.2,68.0,1.4,False
17.5,31.0,67.0,1.1,False
17.5,30.8,68.0,1.5,False
17.4,30.9,68.0,1.1,False
17.5,30.9,68.0,1.5,False
17.4,30.4,68.0,1.7,False
17.4,30.3,69.0,2.4,False
17.4,30.3,69.0,1.3,False
17.3,30.3,70.0,1.7,False
17.3,30.2,71.0,1.0,False
17.2,30.2,71.0,1.7,False
17.2,30.1,71.0,1.4,False
17.2,30.3,70.0,1.0,False
17.2,30.2,71.0,1.7,False
17.2,30.2,71.0,1.3,False
17.2,30.2,71.0,1.5,False
17.2,30.2,71.0,1.8,False
17.1,30.2,71.0,1.6,False
17.1,30.3,71.0,1.1,False
17.1,30.6,70.0,0.9,False
17.2,30.6,69.0,1.0,False
17.2,30.4,70.0,1.9,False
17.3,30.6,70.0,1.3,False
17.4,30.8,71.0,2.7,False
17.5,31.2,71.0,1.2,False
17.5,31.4,70.0,1.7,False
17.5,31.4,70.0,0.9,False
17.4,31.5,70.0,1.7,False
17.4,31.4,70.0,2.0,False
17.5,31.1,71.0,1.7,False
17.4,31.4,71.0,1.9,False
17.5,31.8,70.0,1.8,False
17.5,31.8,70.0,2.8,False
17.3,31.2,72.0,1.8,False
17.2,31.0,72.0,2.7,False
17.3,31.0,72.0,2.5,False
17.3,30.9,72.0,1.4,False
17.3,31.0,72.0,1.4,False
17.3,31.0,72.0,2.1,False
17.2,31.0,72.0,1.9,False
17.2,31.2,71.0,1.8,False
17.2,31.3,72.0,1.9,False
17.4,31.5,71.0,1.1,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.5,70.0,1.4,False
17.4,30.5,70.0,1.3,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.3,30.3,71.0,1.7,False
17.2,30.5,71.0,1.0,False
17.3,30.2,70.0,1.5,False
17.3,30.1,70.0,0.9,False
17.3,30.1,69.0,2.1,False
17.3,30.2,69.0,1.8,False
17.4,30.3,69.0,1.2,False
17.5,30.4,69.0,0.9,False
17.5,30.7,68.0,0.6,False
17.5,30.7,68.0,1.5,False
17.6,30.8,68.0,0.4,False
17.6,30.9,68.0,1.9,False
17.6,31.3,68.0,1.5,False
17.6,31.3,68.0,2.2,False
17.6,31.4,69.0,1.3,False
17.7,31.7,67.0,1.5,False
17.7,31.7,67.0,1.9,False
17.7,31.5,68.0,1.3,False
17.7,31.1,67.0,1.6,False
17.6,30.8,69.0,1.8,False
17.6,31.0,68.0,1.5,False
17.5,31.1,68.0,1.7,False
17.5,31.2,68.0,1.4,False
17.5,31.0,67.0,1.1,False
17.5,30.8,68.0,1.5,False
17.4,30.9,68.0,1.1,False
17.5,30.9,68.0,1.5,False
17.4,30.4,68.0,1.7,False
17.4,30.3,69.0,2.4,False
17.4,30.3,69.0,1.3,False
17.3,30.3,70.0,1.7,False
17.3,30.2,71.0,1.0,False
17.2,30.2,71.0,1.7,False
17.2,30.1,71.0,1.4,False
17.2,30.3,70.0,1.0,False
17.2,30.2,71.0,1.7,False
17.2,30.2,71.0,1.3,False
17.2,30.2,71.0,1.5,False
17.2,30.2,71.0,1.8,False
17.1,30.2,71.0,1.6,False
17.1,30.3,71.0,1.1,False
17.1,30.6,70.0,0.9,False
17.2,30.5,69.0,2.2,False
17.2,30.4,70.0,1.9,False
17.3,30.6,70.0,1.3,False
17.5,31.2,71.0,1.2,False
17.5,31.4,70.0,1.9,False
17.5,31.4,70.0,1.7,False
17.5,31.4,70.0,0.9,False
17.4,31.5,70.0,1.7,False
17.5,31.1,71.0,1.7,False
17.5,31.1,71.0,1.7,False
17.4,31.4,71.0,1.9,False
17.5,31.8,70.0,1.8,False
17.4,31.2,72.0,2.9,False
17.3,31.2,72.0,1.8,False
17.2,31.0,72.0,2.7,False
17.3,31.0,72.0,2.5,False
17.2,31.0,72.0,1.6,False
17.3,31.0,72.0,1.4,False
17.3,31.0,72.0,2.1,False
17.2,31.0,72.0,1.9,False
17.2,31.3,71.0,1.4,False
17.2,31.3,72.0,1.9,False
17.4,31.5,71.0,1.1,False
17.5,30.8,69.0,0.4,False
17.5,30.7,70.0,1.9,False
17.5,30.6,70.0,1.1,False
17.4,30.5,70.0,1.8,False
17.4,30.5,71.0,1.3,False
17.3,30.5,71.0,1.8,False
17.3,30.4,70.0,2.0,False
17.2,30.5,71.0,1.0,False
17.3,30.2,70.0,1.5,False
17.3,30.1,70.0,0.9,False
17.3,30.1,70.0,0.9,False
17.3,30.2,69.0,1.8,False
17.4,30.3,69.0,1.2,False
17.5,30.4,69.0,1.3,False
17.5,30.4,69.0,0.9,False
17.5,30.7,68.0,0.6,False
17.6,30.8,68.0,0.4,False
17.6,31.0,67.0,2.0,False
17.6,30.9,68.0,1.9,False
17.6,31.3,68.0,1.5,False
17.6,31.4,69.0,1.3,False
17.7,31.4,68.0,1.1,False
17.7,31.7,67.0,1.5,False
17.7,31.7,67.0,1.9,False
17.7,31.1,67.0,1.6,False
17.7,31.1,67.0,1.6,False
17.6,30.8,69.0,1.8,False
17.6,31.0,68.0,1.5,False
17.5,31.2,68.0,1.4,False
17.5,31.1,68.0,0.7,False
17.5,31.0,67.0,1.1,False
17.4,30.9,68.0,1.1,False
17.5,30.9,68.0,1.5,False
17.5,30.8,68.0,0.6,False
17.4,30.3,69.0,2.4,False
17.4,30.3,69.0,1.3,False
17.3,30.3,70.0,1.7,False
17.3,30.3,70.0,2.4,False
17.3,30.2,71.0,1.0,False
17.2,30.1,71.0,1.4,False
17.2,30.3,70.0,1.0,False
17.2,30.3,70.0,1.2,False
17.2,30.2,71.0,1.7,False
17.2,30.2,71.0,1.5,False
17.2,30.2,71.0,1.8,False
17.1,30.0,71.0,2.0,False
17.1,30.2,71.0,1.6,False
17.1,30.6,70.0,0.9,False
17.2,30.6,69.0,1.0,False
17.2,30.5,69.0,2.2,False
17.2,30.4,70.0,1.9,False
17.4,30.8,71.0,2.7,False
17.5,31.2,71.0,1.2,False
17.5,31.4,70.0,1.9,False
17.5,31.4,70.0,0.9,False
17.4,31.5,70.0,1.7,False
17.4,31.4,70.0,2.0,False
17.5,31.1,71.0,1.7,False
