AirTemp,TrackTemp,Humidity,WindSpeed,Rainfall
22.6,32.6,76.0,0.8,False
22.5,32.8,76.0,1.7,False
22.5,32.8,76.0,1.0,False
22.7,32.9,76.0,1.0,False
22.7,32.8,77.0,0.6,False
22.6,32.8,77.0,1.3,False
22.6,32.9,77.0,1.2,False
22.7,33.6,77.0,1.2,False
22.7,33.5,77.0,0.8,False
22.7,33.0,77.0,1.2,False
22.8,33.4,77.0,0.8,False
22.8,33.4,77.0,0.6,False
22.7,33.4,77.0,1.2,False
22.7,33.0,77.0,1.3,False
22.7,33.2,77.0,0.8,False
22.6,33.2,77.0,1.6,False
22.6,33.2,77.0,1.2,False
22.5,33.2,78.0,0.8,False
22.6,33.7,77.0,1.1,False
22.8,33.6,76.0,0.8,False
22.8,33.4,76.0,0.8,False
22.7,33.3,76.0,0.8,False
22.8,33.1,76.0,1.7,False
22.7,33.1,77.0,1.0,False
22.7,32.9,76.0,0.8,False
22.8,33.2,77.0,1.0,False
22.7,33.4,76.0,1.2,False
22.7,33.4,77.0,0.8,False
22.9,32.9,77.0,1.0,False
22.8,32.6,77.0,0.8,False
22.8,32.6,77.0,1.5,False
22.6,33.4,77.0,1.0,False
22.6,33.4,77.0,0.8,False
22.6,33.5,77.0,1.1,False
22.6,33.1,77.0,1.6,False
22.5,33.6,77.0,1.2,False
22.7,33.9,76.0,1.1,False
22.8,33.4,76.0,1.6,False
22.8,32.9,76.0,1.1,False
22.7,33.8,76.0,1.0,False
22.8,34.0,76.0,1.2,False
22.7,34.0,76.0,1.3,False
22.7,33.3,76.0,1.8,False
22.7,33.3,76.0,1.0,False
22.8,33.2,76.0,1.2,False
22.8,33.4,76.0,0.8,False
22.8,33.4,76.0,1.2,False
22.8,33.6,76.0,1.3,False
22.7,33.6,76.0,1.0,False
22.7,33.6,75.0,1.1,False
22.7,33.8,75.0,1.2,False
22.4,32.1,77.0,1.1,False
22.4,32.1,78.0,0.8,False
22.4,32.0,78.0,0.5,False
22.4,32.4,77.0,0.8,False
22.4,32.4,78.0,1.6,False
22.4,32.5,77.0,1.3,False
22.4,33.2,77.0,1.1,False
22.5,33.2,77.0,2.0,False
22.5,33.2,77.0,1.0,False
22.6,33.6,77.0,1.0,False
22.5,33.6,76.0,1.5,False
22.4,33.4,77.0,1.6,False
22.4,33.1,77.0,1.7,False
22.4,33.0,77.0,2.0,False
22.5,33.0,77.0,0.8,False
22.5,33.2,77.0,1.2,False
22.4,33.4,77.0,1.1,False
22.5,33.4,76.0,1.7,False
22.6,33.4,76.0,1.1,False
22.6,33.5,76.0,0.8,False
22.5,32.9,75.0,0.8,False
22.6,32.6,76.0,1.2,False
22.5,32.8,76.0,1.7,False
22.5,32.8,76.0,1.0,False
22.5,32.8,76.0,1.3,False
22.7,32.9,76.0,1.0,False
22.6,32.8,77.0,1.3,False
22.6,32.9,77.0,1.2,False
22.7,33.2,77.0,1.0,False
22.7,33.6,77.0,1.2,False
22.7,33.0,77.0,1.2,False
22.8,33.3,77.0,1.5,False
22.8,33.4,77.0,0.8,False
22.7,33.4,77.0,1.2,False
22.7,33.0,77.0,1.3,False
22.7,33.4,77.0,0.8,False
22.7,33.2,77.0,0.8,False
22.6,33.2,77.0,1.2,False
22.5,33.2,78.0,0.8,False
22.6,32.9,78.0,0.8,False
22.6,33.7,77.0,1.1,False
22.8,33.4,76.0,0.8,False
22.8,33.3,76.0,1.6,False
22.7,33.3,76.0,0.8,False
22.7,33.1,77.0,1.0,False
22.7,32.9,76.0,0.8,False
22.8,33.2,76.0,1.3,False
22.7,33.4,76.0,1.2,False
22.7,33.4,77.0,0.8,False
22.8,33.1,77.0,0.8,False
22.8,32.6,77.0,0.8,False
22.8,32.6,77.0,1.5,False
22.7,32.7,77.0,1.3,False
22.6,33.4,77.0,1.0,False
22.6,33.5,77.0,1.1,False
22.6,33.1,77.0,1.6,False
22.6,33.2,77.0,1.1,False
22.7,33.9,76.0,1.1,False
22.8,33.4,76.0,1.6,False
22.8,32.9,76.0,1.1,False
22.7,33.8,76.0,1.0,False
22.8,34.0,76.0,1.2,False
22.7,34.0,76.0,1.3,False
22.7,33.3,76.0,1.8,False
22.7,33.3,76.0,1.0,False
22.8,33.2,76.0,1.2,False
22.8,33.4,76.0,0.8,False
22.8,33.4,76.0,1.2,False
22.8,33.6,76.0,1.3,False
22.7,33.6,76.0,1.0,False
22.6,32.8,76.0,0.6,False
22.7,33.8,75.0,1.2,False
22.4,32.1,77.0,1.1,False
22.4,32.1,78.0,0.8,False
22.4,32.0,78.0,0.5,False
22.4,32.4,77.0,0.8,False
22.4,32.4,78.0,1.6,False
22.4,32.5,77.0,1.3,False
22.4,33.2,77.0,1.1,False
22.5,33.2,77.0,2.0,False
22.5,33.2,77.0,1.0,False
22.6,33.6,77.0,1.0,False
22.5,33.6,76.0,1.5,False
22.4,33.4,77.0,1.6,False
22.4,33.0,77.0,1.2,False
22.4,33.0,77.0,2.0,False
22.5,33.0,77.0,0.8,False
22.5,33.2,78.0,1.1,False
22.4,33.4,77.0,1.1,False
22.6,33.4,76.0,1.1,False
22.6,33.3,76.0,1.0,False
22.6,33.5,76.0,0.8,False
22.5,32.9,75.0,0.8,False
22.6,32.6,76.0,0.8,False
22.5,32.8,76.0,1.7,False
22.5,32.8,76.0,1.0,False
22.5,32.8,76.0,1.3,False
22.7,32.8,77.0,0.6,False
22.6,32.8,77.0,1.3,False
22.6,32.9,77.0,1.2,False
22.7,33.6,77.0,1.2,False
22.7,33.5,77.0,0.8,False
22.7,33.0,77.0,1.2,False
22.8,33.3,77.0,1.5,False
22.8,33.4,77.0,0.6,False
22.7,33.4,77.0,1.2,False
22.7,33.0,77.0,1.3,False
22.7,33.2,77.0,0.8,False
22.6,33.2,77.0,1.6,False
22.6,33.2,77.0,1.2,False
22.6,32.9,78.0,0.8,False
22.6,33.7,77.0,1.1,False
22.8,33.6,76.0,0.8,False
22.8,33.3,76.0,1.6,False
22.7,33.3,76.0,0.8,False
22.8,33.1,76.0,1.7,False
22.7,33.1,77.0,1.0,False
22.8,33.2,76.0,1.3,False
22.8,33.2,77.0,1.0,False
22.7,33.3,76.0,1.0,False
22.7,33.4,77.0,0.8,False
22.9,32.9,77.0,1.0,False
22.8,32.6,77.0,0.8,False
22.8,32.6,77.0,1.5,False
22.6,33.4,77.0,1.0,False
22.6,33.4,77.0,0.8,False
22.6,33.5,77.0,1.1,False
22.6,33.1,77.0,1.6,False
22.5,33.6,77.0,1.2,False
22.7,33.9,76.0,1.1,False
22.8,33.4,76.0,1.6,False
22.8,32.9,76.0,1.1,False
22.7,33.8,76.0,1.0,False
22.8,34.0,76.0,1.2,False
22.7,33.3,76.0,1.3,False
22.7,33.3,76.0,1.8,False
22.7,33.3,76.0,1.0,False
22.8,33.2,76.0,1.2,False
22.8,33.4,76.0,1.1,False
22.8,33.4,76.0,1.2,False
22.8,33.6,76.0,1.3,False
22.7,33.6,76.0,1.0,False
22.7,33.6,75.0,1.1,False
22.7,33.8,75.0,1.2,False
22.4,32.1,77.0,1.1,False
22.4,32.1,78.0,0.8,False
22.4,32.0,78.0,0.5,False
22.4,32.4,77.0,0.8,False
22.4,32.5,77.0,1.3,False
22.4,32.5,77.0,1.3,False
22.4,33.2,77.0,1.1,False
22.5,33.2,77.0,2.0,False
22.5,33.1,77.0,2.0,False
22.6,33.6,77.0,1.0,False
22.5,33.6,76.0,1.5,False
22.4,33.1,77.0,1.7,False
22.4,33.0,77.0,1.2,False
22.4,33.0,77.0,2.0,False
22.5,33.2,77.0,1.2,False
22.5,33.2,78.0,1.1,False
22.5,33.4,76.0,1.7,False
22.6,33.4,76.0,1.1,False
22.6,33.3,76.0,1.0,False
22.6,33.5,76.0,0.8,False
22.6,32.6,76.0,1.2,False
22.6,32.6,76.0,0.8,False
22.5,32.8,76.0,1.7,False
22.5,32.8,76.0,1.3,False
22.7,32.9,76.0,1.0,False
22.7,32.8,77.0,0.6,False
22.6,32.9,77.0,1.2,False
22.7,33.2,77.0,1.0,False
22.7,33.6,77.0,1.2,False
22.7,33.5,77.0,0.8,False
22.8,33.3,77.0,1.5,False
22.8,33.4,77.0,0.8,False
22.8,33.4,77.0,0.6,False
22.7,33.0,77.0,1.3,False
22.7,33.4,77.0,0.8,False
22.6,33.2,77.0,1.6,False
22.6,33.2,77.0,1.2,False
22.5,33.2,78.0,0.8,False
22.6,32.9,78.0,0.8,False
22.8,33.6,76.0,0.8,False
22.8,33.4,76.0,0.8,False
22.8,33.3,76.0,1.6,False
22.8,33.1,76.0,1.7,False
22.7,33.1,77.0,1.0,False
22.7,32.9,76.0,0.8,False
22.8,33.2,76.0,1.3,False
22.7,33.4,76.0,1.2,False
22.7,33.4,77.0,0.8,False
22.9,32.9,77.0,1.0,False
22.8,32.6,77.0,0.8,False
22.8,32.6,77.0,1.5,False
22.7,32.7,77.0,1.3,False
22.6,33.4,77.0,0.8,False
22.6,33.5,77.0,1.1,False
22.6,33.1,77.0,1.6,False
22.5,33.6,77.0,1.2,False
22.7,33.9,76.0,1.1,False
22.8,33.4,76.0,1.6,False
22.8,33.4,75.0,1.2,False
22.7,33.6,76.0,1.1,False
22.7,33.8,76.0,1.0,False
22.8,34.0,76.0,1.2,False
22.7,33.3,76.0,1.3,False
22.7,33.3,76.0,1.8,False
22.7,33.3,76.0,1.0,False
22.8,33.2,76.0,1.2,False
22.8,33.4,76.0,1.1,False
22.8,33.4,76.0,1.2,False
22.8,33.6,76.0,1.3,False
22.7,33.6,76.0,1.0,False
22.7,33.6,75.0,1.1,False
22.7,33.8,75.0,1.2,False
22.4,32.1,77.0,1.1,False
22.4,32.1,78.0,0.8,False
22.4,32.0,78.0,0.5,False
22.4,32.4,77.0,0.8,False
22.4,32.4,78.0,1.6,False
22.4,32.5,77.0,1.3,False
22.4,33.2,77.0,1.1,False
22.5,33.2,77.0,2.0,False
22.5,33.1,77.0,2.0,False
22.6,33.6,77.0,1.0,False
22.5,33.6,76.0,1.5,False
22.4,33.4,77.0,1.6,False
22.4,33.0,77.0,1.2,False
22.4,33.0,77.0,2.0,False
22.5,33.2,77.0,1.2,False
22.5,33.2,78.0,1.1,False
22.4,33.4,77.0,1.1,False
22.6,33.4,76.0,1.1,False
22.6,33.3,76.0,1.0,False
22.6,33.5,76.0,0.8,False
22.6,32.6,76.0,1.2,False
22.6,32.6,76.0,0.8,False
22.5,32.8,76.0,1.7,False
22.5,32.8,76.0,1.0,False
22.7,32.9,76.0,1.0,False
22.7,32.8,77.0,0.6,False
22.6,32.8,77.0,1.3,False
22.7,33.2,77.0,1.0,False
22.7,33.6,77.0,1.2,False
22.7,33.5,77.0,0.8,False
22.7,33.0,77.0,1.2,False
22.8,33.4,77.0,0.8,False
22.8,33.4,77.0,0.6,False
22.7,33.4,77.0,1.2,False
22.7,33.4,77.0,0.8,False
22.7,33.2,77.0,0.8,False
22.6,33.2,77.0,1.6,False
22.6,33.2,77.0,1.2,False
22.6,32.9,78.0,0.8,False
22.6,33.7,77.0,1.1,False
22.8,33.6,76.0,0.8,False
22.8,33.3,76.0,1.6,False
22.7,33.3,76.0,0.8,False
22.4,32.1,77.0,1.1,False
22.4,32.1,78.0,0.8,False
22.4,32.0,78.0,0.5,False
22.4,32.4,77.0,0.8,False
22.4,32.4,78.0,1.6,False
22.4,32.5,77.0,1.3,False
22.4,33.2,77.0,1.1,False
22.5,33.2,77.0,2.0,False
22.5,33.1,77.0,2.0,False
22.6,33.6,77.0,1.0,False
22.5,33.6,76.0,1.5,False
22.4,33.1,77.0,1.7,False
22.4,33.0,77.0,1.2,False
22.4,33.0,77.0,2.0,False
22.5,33.0,77.0,0.8,False
22.5,33.2,78.0,1.1,False
22.4,33.4,77.0,1.1,False
22.5,33.4,76.0,1.7,False
22.6,33.3,76.0,1.0,False
22.6,33.5,76.0,0.8,False
22.5,32.9,75.0,0.8,False
22.6,32.6,76.0,0.8,False
22.5,32.8,76.0,1.7,False
22.5,32.8,76.0,1.3,False
22.7,32.9,76.0,1.0,False
22.7,32.8,77.0,0.6,False
22.6,32.8,77.0,1.3,False
22.7,33.2,77.0,1.0,False
22.7,33.6,77.0,1.2,False
22.7,33.5,77.0,0.8,False
22.8,33.3,77.0,1.5,False
22.8,33.4,77.0,0.8,False
22.8,33.4,77.0,0.6,False
22.7,33.4,77.0,1.2,False
22.7,33.4,77.0,0.8,False
22.7,33.2,77.0,0.8,False
22.6,33.2,77.0,1.6,False
22.5,33.2,78.0,0.8,False
22.6,32.9,78.0,0.8,False
22.6,33.7,77.0,1.1,False
22.8,33.6,76.0,0.8,False
22.8,33.3,76.0,1.6,False
22.7,33.3,76.0,0.8,False
22.7,33.1,77.0,1.0,False
22.7,32.9,76.0,0.8,False
22.8,33.2,76.0,1.3,False
22.7,33.4,76.0,1.2,False
22.7,33.3,76.0,1.0,False
22.8,33.1,77.0,0.8,False
22.9,32.9,77.0,1.0,False
22.8,32.6,77.0,1.5,False
22.7,32.7,77.0,1.3,False
22.6,33.4,77.0,1.0,False
22.6,33.4,77.0,0.8,False
22.6,33.1,77.0,1.6,False
22.6,33.2,77.0,1.1,False
22.6,33.8,76.0,0.8,False
22.8,33.4,76.0,1.6,False
22.8,33.4,75.0,1.2,False
22.7,33.6,76.0,1.1,False
22.7,33.8,76.0,1.0,False
22.8,34.0,76.0,1.2,False
22.7,33.3,76.0,1.3,False
22.7,33.3,76.0,1.8,False
22.7,33.3,76.0,1.0,False
22.8,33.2,76.0,1.2,False
22.8,33.4,76.0,1.1,False
22.8,33.4,76.0,1.2,False
22.8,33.6,76.0,1.3,False
22.7,33.6,76.0,1.0,False
22.7,33.6,75.0,1.1,False
22.7,33.8,75.0,1.2,False
22.4,32.1,77.0,1.1,False
22.4,32.1,78.0,0.8,False
22.4,32.0,78.0,0.5,False
22.4,32.4,77.0,0.8,False
22.4,32.4,78.0,1.6,False
22.4,32.5,77.0,1.3,False
22.4,33.2,77.0,1.1,False
22.5,33.2,77.0,2.0,False
22.5,33.1,77.0,2.0,False
22.6,33.6,77.0,1.0,False
22.5,33.6,76.0,1.5,False
22.4,33.1,77.0,1.7,False
22.4,33.0,77.0,1.2,False
22.5,33.0,77.0,0.8,False
22.5,33.2,77.0,1.2,False
22.5,33.2,78.0,1.1,False
22.4,33.4,77.0,1.1,False
22.6,33.4,76.0,1.1,False
22.6,33.3,76.0,1.0,False
22.6,33.5,76.0,0.8,False
22.6,32.6,76.0,1.2,False
22.6,32.6,76.0,0.8,False
22.5,32.8,76.0,1.7,False
22.5,32.8,76.0,1.0,False
22.7,32.9,76.0,1.0,False
22.7,32.8,77.0,0.6,False
22.6,32.8,77.0,1.3,False
22.7,33.2,77.0,1.0,False
22.7,33.6,77.0,1.2,False
22.7,33.5,77.0,0.8,False
22.7,33.0,77.0,1.2,False
22.8,33.4,77.0,0.8,False
22.8,33.4,77.0,0.6,False
22.7,33.4,77.0,1.2,False
22.7,33.4,77.0,0.8,False
22.7,33.2,77.0,0.8,False
22.6,33.2,77.0,1.6,False
22.5,33.2,78.0,0.8,False
22.6,32.9,78.0,0.8,False
22.8,33.6,76.0,0.8,False
22.8,33.4,76.0,0.8,False
22.8,33.3,76.0,1.6,False
22.7,33.3,76.0,0.8,False
22.7,33.1,77.0,1.0,False
22.7,32.9,76.0,0.8,False
22.8,33.2,76.0,1.3,False
22.7,33.4,76.0,1.2,False
22.7,33.3,76.0,1.0,False
22.8,33.1,77.0,0.8,False
22.8,32.6,77.0,0.8,False
22.8,32.6,77.0,1.5,False
22.7,32.7,77.0,1.3,False
22.6,33.4,77.0,1.0,False
22.6,33.5,77.0,1.1,False
22.6,33.1,77.0,1.6,False
22.5,33.6,77.0,1.2,False
22.7,33.9,76.0,1.1,False
22.8,33.4,76.0,1.6,False
22.8,33.4,75.0,1.2,False
22.7,33.6,76.0,1.1,False
22.7,33.8,76.0,1.0,False
22.8,34.0,76.0,1.2,False
22.7,33.3,76.0,1.3,False
22.7,33.3,76.0,1.8,False
22.7,33.3,76.0,1.0,False
22.8,33.2,76.0,1.2,False
22.8,33.4,76.0,1.1,False
22.8,33.4,76.0,1.2,False
22.8,33.6,76.0,1.3,False
22.7,33.6,76.0,1.0,False
22.7,33.6,75.0,1.1,False
22.7,33.8,75.0,1.2,False
22.4,32.1,77.0,1.1,False
22.4,32.1,78.0,0.8,False
22.4,32.0,78.0,0.5,False
22.4,32.4,77.0,0.8,False
22.4,32.4,78.0,1.6,False
22.4,32.5,77.0,1.3,False
22.4,33.2,77.0,1.1,False
22.5,33.2,77.0,2.0,False
22.5,33.1,77.0,2.0,False
22.6,33.6,77.0,1.0,False
22.5,33.6,76.0,1.5,False
22.4,33.1,77.0,1.7,False
22.4,33.0,77.0,1.2,False
22.5,33.0,77.0,0.8,False
22.5,33.2,77.0,1.2,False
22.5,33.2,78.0,1.1,False
22.4,33.4,77.0,1.1,False
22.6,33.4,76.0,1.1,False
22.6,33.3,76.0,1.0,False
22.6,33.5,76.0,0.8,False
22.6,32.6,76.0,1.2,False
22.6,32.6,76.0,0.8,False
22.5,32.8,76.0,1.7,False
22.5,32.8,76.0,1.3,False
22.7,32.9,76.0,1.0,False
22.7,32.8,77.0,0.6,False
22.6,32.9,77.0,1.2,False
22.7,33.2,77.0,1.0,False
22.7,33.6,77.0,1.2,False
22.7,33.0,77.0,1.2,False
22.8,33.3,77.0,1.5,False
22.8,33.4,77.0,0.8,False
22.7,33.4,77.0,1.2,False
22.7,33.0,77.0,1.3,False
22.7,33.4,77.0,0.8,False
22.6,33.2,77.0,1.6,False
22.6,33.2,77.0,1.2,False
22.5,33.2,78.0,0.8,False
22.6,32.9,78.0,0.8,False
22.8,33.6,76.0,0.8,False
22.8,33.4,76.0,0.8,False
22.8,33.3,76.0,1.6,False
22.8,33.1,76.0,1.7,False
22.7,33.1,77.0,1.0,False
22.7,32.9,76.0,0.8,False
22.8,33.2,77.0,1.0,False
22.7,33.4,76.0,1.2,False
22.7,33.4,77.0,0.8,False
22.9,32.9,77.0,1.0,False
22.8,32.6,77.0,0.8,False
22.8,32.6,77.0,1.5,False
22.7,32.7,77.0,1.3,False
22.6,33.4,77.0,0.8,False
22.6,33.5,77.0,1.1,False
22.6,33.1,77.0,1.6,False
22.5,33.6,77.0,1.2,False
22.7,33.9,76.0,1.1,False
22.8,33.4,76.0,1.6,False
22.8,32.9,76.0,1.1,False
22.7,33.6,76.0,1.1,False
22.7,33.8,76.0,1.0,False
22.8,34.0,76.0,1.2,False
22.7,33.3,76.0,1.3,False
22.7,33.3,76.0,1.8,False
22.7,33.3,76.0,1.0,False
22.8,33.2,76.0,1.2,False
22.8,33.4,76.0,1.1,False
22.8,33.4,76.0,1.2,False
22.8,33.6,76.0,1.3,False
22.6,32.8,76.0,0.6,False
22.7,33.6,75.0,1.1,False
22.7,33.8,75.0,1.2,False
22.4,32.1,77.0,1.1,False
22.4,32.1,78.0,0.8,False
22.4,32.0,78.0,0.5,False
22.4,32.4,77.0,0.8,False
22.4,32.4,78.0,1.6,False
22.4,32.5,77.0,1.3,False
22.4,33.2,77.0,1.1,False
22.5,33.2,77.0,2.0,False
22.5,33.1,77.0,2.0,False
22.6,33.6,77.0,1.0,False
22.5,33.6,76.0,1.5,False
